mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
3.469,0.662,2.798,0.424,0.909,0.312,4.4430000000000005,6.825,0.0
4.909,0.688,1.4240000000000002,0.281,0.857,0.264,2.825,6.609,0.0
5.4129999999999985,0.718,0.967,0.239,0.782,0.24,2.228,6.657,0.0
6.3660000000000005,0.716,0.956,0.225,0.777,0.233,2.192,6.667999999999998,0.0
6.02,0.732,1.033,0.223,0.715,0.21600000000000005,2.187,6.666,0.0
6.68,0.732,0.7879999999999999,0.195,0.721,0.212,1.915,6.682,0.0
6.763,0.742,0.679,0.187,0.6940000000000001,0.199,1.759,6.681,0.0
6.834,0.738,0.625,0.19,0.654,0.181,1.651,6.683,0.0
6.507999999999999,0.775,0.6759999999999999,0.16899999999999998,0.638,0.189,1.673,6.723,0.0
6.933,0.7759999999999999,0.614,0.168,0.5770000000000001,0.19,1.548,6.519,0.0
7.326,0.7659999999999999,0.662,0.154,0.622,0.187,1.624,6.689,0.0
6.818,0.784,0.532,0.16699999999999998,0.565,0.183,1.4469999999999998,6.497999999999998,0.0
7.167000000000002,0.77,0.496,0.154,0.58,0.171,1.402,6.691,0.0
7.075,0.8059999999999999,0.603,0.14300000000000002,0.528,0.16,1.4340000000000002,6.626,0.0
7.148,0.789,0.537,0.15,0.563,0.175,1.425,6.505,0.0
7.593,0.794,0.52,0.127,0.551,0.168,1.366,6.494,0.0
7.9289999999999985,0.79,0.539,0.138,0.547,0.14800000000000002,1.3730000000000002,6.6720000000000015,0.0
7.195,0.8,0.509,0.122,0.527,0.157,1.314,6.564,0.0
7.5139999999999985,0.812,0.586,0.151,0.496,0.157,1.389,6.687,0.0
7.877999999999999,0.8109999999999999,0.406,0.129,0.501,0.152,1.188,6.492000000000001,0.0
7.5070000000000014,0.8220000000000001,0.468,0.116,0.472,0.145,1.202,6.747000000000001,0.0
7.9220000000000015,0.815,0.399,0.121,0.4970000000000001,0.14300000000000002,1.159,6.537000000000001,0.0
7.678,0.8320000000000001,0.423,0.115,0.452,0.14,1.13,6.643,0.0
7.8679999999999986,0.812,0.388,0.129,0.471,0.14,1.128,6.67,0.0
7.661,0.825,0.339,0.119,0.463,0.142,1.063,6.652,0.0
7.737,0.8270000000000001,0.312,0.122,0.469,0.128,1.031,6.5539999999999985,0.0
7.362,0.8290000000000001,0.431,0.105,0.465,0.13699999999999998,1.138,6.566,0.0
8.097999999999999,0.828,0.465,0.121,0.452,0.139,1.177,6.393,0.0
8.45,0.83,0.35700000000000004,0.108,0.445,0.138,1.047,6.391,0.0
7.617000000000001,0.8490000000000001,0.362,0.101,0.41,0.131,1.004,6.391,0.0
7.8,0.8340000000000001,0.376,0.112,0.4270000000000001,0.134,1.0490000000000002,6.5139999999999985,0.0
7.595,0.8490000000000001,0.354,0.101,0.395,0.116,0.966,6.374,0.0
7.973,0.8370000000000001,0.364,0.104,0.412,0.132,1.012,6.526,0.0
8.085,0.846,0.333,0.102,0.414,0.132,0.981,6.337999999999999,0.0
8.22,0.742,0.39299999999999996,0.121,0.6859999999999999,0.247,1.4469999999999998,9.399,0.0
8.33,0.8059999999999999,0.289,0.107,0.507,0.183,1.0859999999999999,9.041,0.0
7.906000000000001,0.821,0.327,0.10300000000000001,0.466,0.165,1.061,9.104,0.0
7.597,0.826,0.344,0.102,0.452,0.154,1.052,9.111,0.0
8.066,0.838,0.309,0.092,0.445,0.153,0.9990000000000001,9.047,0.0
8.035,0.8390000000000001,0.316,0.092,0.413,0.14,0.961,9.075,0.0
8.043,0.845,0.33899999999999997,0.08900000000000001,0.405,0.134,0.9670000000000001,9.191,0.0
8.406,0.8540000000000001,0.335,0.091,0.401,0.145,0.973,9.138,0.0
7.7860000000000005,0.851,0.253,0.08900000000000001,0.392,0.136,0.8690000000000001,9.107999999999999,0.0
7.8260000000000005,0.8540000000000001,0.33299999999999996,0.09,0.382,0.13,0.934,9.226,0.0
8.167,0.845,0.29600000000000004,0.09300000000000001,0.41200000000000003,0.135,0.937,9.169,0.0
7.95,0.875,0.27699999999999997,0.085,0.354,0.13,0.846,9.101,0.0
7.727,0.8640000000000001,0.293,0.08199999999999999,0.355,0.11599999999999999,0.845,9.221,0.0
8.264,0.8640000000000001,0.261,0.092,0.358,0.131,0.8420000000000001,9.28,0.0
7.817,0.868,0.266,0.086,0.359,0.11900000000000001,0.83,9.3,0.0
7.768,0.873,0.298,0.079,0.33799999999999997,0.11599999999999999,0.83,9.212,0.0
8.011000000000001,0.875,0.292,0.08,0.33399999999999996,0.122,0.828,9.144,0.0
7.881,0.868,0.18,0.08,0.33299999999999996,0.113,0.706,9.238999999999999,0.0
8.036,0.87,0.254,0.075,0.341,0.10300000000000001,0.773,9.248,0.0
8.067,0.89,0.262,0.076,0.31,0.107,0.7559999999999999,9.111,0.0
8.056000000000001,0.879,0.235,0.07400000000000001,0.32299999999999995,0.115,0.746,9.094,0.0
7.985,0.8759999999999999,0.25,0.08,0.33,0.1,0.76,9.095,0.0
7.992999999999999,0.889,0.233,0.075,0.297,0.10300000000000001,0.708,9.117,0.0
8.149,0.897,0.251,0.07400000000000001,0.282,0.11,0.716,9.207,0.0
7.92,0.893,0.212,0.069,0.289,0.102,0.672,9.182,0.0
8.158,0.8959999999999999,0.264,0.068,0.282,0.099,0.713,9.285,0.0
8.343,0.89,0.222,0.067,0.306,0.106,0.701,9.27,0.0
8.089,0.902,0.163,0.073,0.264,0.10099999999999999,0.601,9.229,0.0
7.992999999999999,0.892,0.259,0.069,0.281,0.09300000000000001,0.703,9.238,0.0
8.519,0.907,0.183,0.064,0.262,0.1,0.609,9.124,0.0
8.331,0.895,0.166,0.066,0.293,0.099,0.624,9.16,0.0
8.328,0.903,0.2,0.06,0.26,0.09300000000000001,0.613,9.12,0.0
8.402000000000001,0.905,0.258,0.066,0.257,0.094,0.675,9.172,0.0
8.435,0.899,0.16699999999999998,0.066,0.26899999999999996,0.099,0.602,9.14,0.0
8.366,0.9059999999999999,0.218,0.064,0.25,0.09300000000000001,0.625,9.117,0.0
8.33,0.902,0.231,0.065,0.268,0.094,0.6579999999999999,9.166,0.0
8.087,0.915,0.17600000000000002,0.059000000000000004,0.231,0.09300000000000001,0.5589999999999999,9.177,0.0
8.158999999999999,0.907,0.20600000000000002,0.065,0.258,0.09,0.619,9.277000000000001,0.0
8.001,0.91,0.263,0.063,0.239,0.085,0.65,9.172,0.0
8.017000000000001,0.9079999999999999,0.218,0.062,0.262,0.098,0.639,9.13,0.0
8.265,0.776,0.249,0.071,0.646,0.242,1.207,6.766,0.0
8.495,0.872,0.193,0.065,0.346,0.169,0.773,7.155,0.0
8.365,0.88,0.187,0.064,0.319,0.154,0.724,6.508,0.0
8.771,0.88,0.194,0.061,0.331,0.148,0.733,6.467,0.0
8.047,0.884,0.262,0.06,0.305,0.126,0.752,6.492,0.0
7.893,0.9,0.221,0.057,0.256,0.129,0.663,6.493,0.0
8.534,0.896,0.157,0.061,0.287,0.123,0.627,6.498,0.0
8.696,0.888,0.147,0.06,0.317,0.115,0.639,6.599,0.0
8.09,0.9,0.218,0.059,0.275,0.101,0.652,7.154,0.0
8.29,0.909,0.226,0.061,0.248,0.12,0.655,6.571,0.0
8.179,0.908,0.173,0.056,0.257,0.112,0.599,7.548,0.0
8.002,0.914,0.184,0.057,0.228,0.108,0.576,6.903,0.0
8.062,0.901,0.181,0.058,0.276,0.105,0.62,6.582,0.0
8.158,0.911,0.221,0.05,0.247,0.104,0.621,6.565,0.0
8.13,0.911,0.186,0.057,0.248,0.107,0.598,6.545,0.0
8.371,0.898,0.147,0.053,0.283,0.108,0.59,6.547,0.0
8.299,0.9,0.187,0.055,0.275,0.104,0.621,6.573,0.0
