bboxes,filepath,height,width
"[{'class': 'car', 'x1': 1194, 'x2': 1271, 'y1': 298, 'y2': 361}, {'class': 'car', 'x1': 524, 'x2': 921, 'y1': 307, 'y2': 581}]",590bafd3-8039-4916-9254-a454068aab0d.mov-0001.jpg,720,1280
"[{'class': 'van', 'x1': 701, 'x2': 878, 'y1': 230, 'y2': 422}, {'class': 'van', 'x1': 68, 'x2': 659, 'y1': 263, 'y2': 698}]",b82bfcd7-e72b-4797-b69c-43ce4c1a1467.mov-0001.jpg,720,1280
"[{'class': 'van', 'x1': 257, 'x2': 342, 'y1': 458, 'y2': 529}, {'class': 'pickup_truck', 'x1': 196, 'x2': 257, 'y1': 461, 'y2': 502}]",88cd3650-4098-4af4-81ec-099f7303f087.mov-0001.jpg,720,1280
"[{'class': 'car', 'x1': 473, 'x2': 634, 'y1': 303, 'y2': 428}, {'class': 'van', 'x1': 72, 'x2': 301, 'y1': 244, 'y2': 445}]",9349f8b9-8dbb-4e51-a10e-ce3f58a5ee7d.mov-0001.jpg,720,1280
"[{'class': 'pickup_truck', 'x1': 315, 'x2': 396, 'y1': 439, 'y2': 480}, {'class': 'car', 'x1': 95, 'x2': 123, 'y1': 406, 'y2': 424}, {'class': 'van', 'x1': 7, 'x2': 75, 'y1': 402, 'y2': 469}]",6503be18-e241-457d-8fac-8d6a8a13484b.mov-0001.jpg,720,1280
"[{'class': 'car', 'x1': 443, 'x2': 654, 'y1': 378, 'y2': 547}, {'class': 'van', 'x1': 978, 'x2': 1275, 'y1': 267, 'y2': 654}, {'class': 'van', 'x1': 776, 'x2': 810, 'y1': 378, 'y2': 408}, {'class': 'van', 'x1': 627, 'x2': 658, 'y1': 362, 'y2': 401}]",1e631661-e062-4fb1-9d5a-6a0cf1203242.mov-0001.jpg,720,1280
"[{'class': 'van', 'x1': 718, 'x2': 809, 'y1': 253, 'y2': 345}, {'class': 'car', 'x1': 362, 'x2': 577, 'y1': 263, 'y2': 429}]",c07acf2f-4a37-4e00-a04c-5f29a4c00e09.mov-0001.jpg,720,1280
"[{'class': 'car', 'x1': 342, 'x2': 436, 'y1': 258, 'y2': 340}, {'class': 'car', 'x1': 476, 'x2': 523, 'y1': 256, 'y2': 295}, {'class': 'truck', 'x1': 553, 'x2': 580, 'y1': 230, 'y2': 267}]",a245e274-947e-4602-b016-49b0ce022009.mov-0001.jpg,720,1280
"[{'class': 'van', 'x1': 744, 'x2': 784, 'y1': 394, 'y2': 436}, {'class': 'car', 'x1': 632, 'x2': 670, 'y1': 408, 'y2': 442}, {'class': 'van', 'x1': 421, 'x2': 501, 'y1': 396, 'y2': 473}]",2642f9c9-7ace-4ce4-b662-087c77cf304a.mov-0001.jpg,720,1280
"[{'class': 'van', 'x1': 783, 'x2': 840, 'y1': 382, 'y2': 432}, {'class': 'van', 'x1': 705, 'x2': 742, 'y1': 382, 'y2': 416}, {'class': 'van', 'x1': 654, 'x2': 709, 'y1': 382, 'y2': 424}, {'class': 'car', 'x1': 452, 'x2': 642, 'y1': 375, 'y2': 522}]",98906d5c-b0e2-4a34-931a-269039d9921c.mov-0001.jpg,720,1280
